city,key,time,inc_quart,inc_quart_legend_label,atusmd_ratio
Chicago,6,6:00,Q2,Q2,0.511516531
Chicago,7,7:00,Q2,Q2,0.58347936
Chicago,8,8:00,Q2,Q2,2.340954617
Chicago,9,9:00,Q2,Q2,6.325752379
Chicago,10,10:00,Q2,Q2,1.176669394
Chicago,11,11:00,Q2,Q2,8.921656785
Chicago,12,12:00,Q2,Q2,6.033569479
Chicago,13,13:00,Q2,Q2,1.631117071
Chicago,14,14:00,Q2,Q2,0
Chicago,15,15:00,Q2,Q2,0.65197772
Chicago,16,16:00,Q2,Q2,4.467234474
Chicago,17,17:00,Q2,Q2,6.265944747
Chicago,18,18:00,Q2,Q2,4.270380835
Chicago,19,19:00,Q2,Q2,1.859357449
Chicago,20,20:00,Q2,Q2,0
Chicago,21,21:00,Q2,Q2,0
Chicago,22,22:00,Q2,Q2,0
Chicago,23,23:00,Q2,Q2,0
Chicago,0,0:00,Q3,Q3,0
Chicago,1,1:00,Q3,Q3,0
Chicago,2,2:00,Q3,Q3,0
Chicago,3,3:00,Q3,Q3,0
Chicago,4,4:00,Q3,Q3,0
Chicago,5,5:00,Q3,Q3,0.73231412
Chicago,6,6:00,Q3,Q3,3.186269144
Chicago,7,7:00,Q3,Q3,3.190790781
Chicago,8,8:00,Q3,Q3,4.949230785
Chicago,9,9:00,Q3,Q3,1.779281653
Chicago,10,10:00,Q3,Q3,1.02102525
Chicago,11,11:00,Q3,Q3,1.435062049
Chicago,12,12:00,Q3,Q3,0.224460007
Chicago,13,13:00,Q3,Q3,0
Chicago,14,14:00,Q3,Q3,0.315119368
Chicago,15,15:00,Q3,Q3,2.326077873
Chicago,16,16:00,Q3,Q3,1.829557927
Chicago,17,17:00,Q3,Q3,0.080347894
Chicago,18,18:00,Q3,Q3,6.569875622
Chicago,19,19:00,Q3,Q3,3.082231895
Chicago,20,20:00,Q3,Q3,2.387722904
Chicago,21,21:00,Q3,Q3,1.568624805
Chicago,22,22:00,Q3,Q3,0
Chicago,23,23:00,Q3,Q3,0
Chicago,0,0:00,Q4,Q4 (High),0
Chicago,1,1:00,Q4,Q4 (High),0
Chicago,2,2:00,Q4,Q4 (High),0
Chicago,3,3:00,Q4,Q4 (High),0
Chicago,4,4:00,Q4,Q4 (High),0
Chicago,5,5:00,Q4,Q4 (High),0.57282422
Chicago,6,6:00,Q4,Q4 (High),1.463939735
Chicago,7,7:00,Q4,Q4 (High),0.658030551
Chicago,8,8:00,Q4,Q4 (High),1.723788991
Chicago,9,9:00,Q4,Q4 (High),1.989407585
Chicago,10,10:00,Q4,Q4 (High),2.118652322
Chicago,11,11:00,Q4,Q4 (High),2.095910731
Chicago,12,12:00,Q4,Q4 (High),2.128416346
Chicago,13,13:00,Q4,Q4 (High),0.573034859
Chicago,14,14:00,Q4,Q4 (High),0.241608621
Chicago,15,15:00,Q4,Q4 (High),0.112474381
Chicago,16,16:00,Q4,Q4 (High),1.452323919
Chicago,17,17:00,Q4,Q4 (High),2.836602621
Chicago,18,18:00,Q4,Q4 (High),3.838894311
Chicago,19,19:00,Q4,Q4 (High),2.28706572
Chicago,20,20:00,Q4,Q4 (High),2.116982166
Chicago,21,21:00,Q4,Q4 (High),0.504275023
Chicago,22,22:00,Q4,Q4 (High),0
Chicago,23,23:00,Q4,Q4 (High),0
Dallas,0,0:00,Q1,Q1 (Low),0
Dallas,1,1:00,Q1,Q1 (Low),0
Dallas,2,2:00,Q1,Q1 (Low),0
Dallas,3,3:00,Q1,Q1 (Low),0
Dallas,4,4:00,Q1,Q1 (Low),3.37598652
Dallas,5,5:00,Q1,Q1 (Low),3.964752774
Dallas,6,6:00,Q1,Q1 (Low),0.70322312
