city,key,time,inc_quart,inc_quart_legend_label,atusmd_ratio
Boston,0,0:00,Q1,Q1 (Low),0
Boston,1,1:00,Q1,Q1 (Low),0
Boston,2,2:00,Q1,Q1 (Low),0
Boston,3,3:00,Q1,Q1 (Low),0
Boston,4,4:00,Q1,Q1 (Low),0
Boston,5,5:00,Q1,Q1 (Low),0.042171693
Boston,6,6:00,Q1,Q1 (Low),1.40231876
Boston,7,7:00,Q1,Q1 (Low),1.369080772
Boston,8,8:00,Q1,Q1 (Low),2.045378978
Boston,9,9:00,Q1,Q1 (Low),1.875015598
Boston,10,10:00,Q1,Q1 (Low),3.342199061
Boston,11,11:00,Q1,Q1 (Low),3.623323587
Boston,12,12:00,Q1,Q1 (Low),2.695633608
Boston,13,13:00,Q1,Q1 (Low),4.158988994
Boston,14,14:00,Q1,Q1 (Low),3.15557847
Boston,15,15:00,Q1,Q1 (Low),2.69513031
Boston,16,16:00,Q1,Q1 (Low),2.763935449
Boston,17,17:00,Q1,Q1 (Low),2.052606205
Boston,18,18:00,Q1,Q1 (Low),1.267636731
Boston,19,19:00,Q1,Q1 (Low),0.507149661
Boston,20,20:00,Q1,Q1 (Low),0.743277332
Boston,21,21:00,Q1,Q1 (Low),0.33203703
Boston,22,22:00,Q1,Q1 (Low),0.069333016
Boston,23,23:00,Q1,Q1 (Low),0
Boston,0,0:00,Q2,Q2,0
Boston,1,1:00,Q2,Q2,0
Boston,2,2:00,Q2,Q2,0
Boston,3,3:00,Q2,Q2,0
Boston,4,4:00,Q2,Q2,0
Boston,5,5:00,Q2,Q2,0
Boston,6,6:00,Q2,Q2,0
Boston,7,7:00,Q2,Q2,1.843984202
Boston,8,8:00,Q2,Q2,2.152585992
Boston,9,9:00,Q2,Q2,4.826530052
Boston,10,10:00,Q2,Q2,3.546243522
Boston,11,11:00,Q2,Q2,1.811635294
Boston,12,12:00,Q2,Q2,3.641007534
Boston,13,13:00,Q2,Q2,3.111697054
Boston,14,14:00,Q2,Q2,2.182959195
Boston,15,15:00,Q2,Q2,1.825263067
Boston,16,16:00,Q2,Q2,3.393583619
Boston,17,17:00,Q2,Q2,2.367996505
Boston,18,18:00,Q2,Q2,3.839836242
Boston,19,19:00,Q2,Q2,2.875907809
Boston,20,20:00,Q2,Q2,4.560710103
Boston,21,21:00,Q2,Q2,0.8739111
Boston,22,22:00,Q2,Q2,0.691451408
Boston,23,23:00,Q2,Q2,0
Boston,0,0:00,Q3,Q3,0
Boston,1,1:00,Q3,Q3,0
Boston,2,2:00,Q3,Q3,0
Boston,3,3:00,Q3,Q3,0
Boston,4,4:00,Q3,Q3,0
Boston,5,5:00,Q3,Q3,0
Boston,6,6:00,Q3,Q3,0
Boston,7,7:00,Q3,Q3,0.769861049
Boston,8,8:00,Q3,Q3,1.403376336
Boston,9,9:00,Q3,Q3,1.834221545
Boston,10,10:00,Q3,Q3,3.659874127
Boston,11,11:00,Q3,Q3,3.719564185
Boston,12,12:00,Q3,Q3,1.745365182
Boston,13,13:00,Q3,Q3,3.141943574
Boston,14,14:00,Q3,Q3,1.223559035
Boston,15,15:00,Q3,Q3,2.012642211
Boston,16,16:00,Q3,Q3,0.641857787
Boston,17,17:00,Q3,Q3,1.916753307
Boston,18,18:00,Q3,Q3,1.172123875
Boston,19,19:00,Q3,Q3,0.992761688
Boston,20,20:00,Q3,Q3,1.455117773
Boston,21,21:00,Q3,Q3,0.072439811
Boston,22,22:00,Q3,Q3,0
Boston,23,23:00,Q3,Q3,0.235704256
Boston,0,0:00,Q4,Q4 (High),0
Boston,1,1:00,Q4,Q4 (High),0
Boston,2,2:00,Q4,Q4 (High),0
Boston,3,3:00,Q4,Q4 (High),0
Boston,4,4:00,Q4,Q4 (High),0
Boston,5,5:00,Q4,Q4 (High),0.342051738
Boston,6,6:00,Q4,Q4 (High),0.216039766
Boston,7,7:00,Q4,Q4 (High),0.297318166
Boston,8,8:00,Q4,Q4 (High),1.366797039
Boston,9,9:00,Q4,Q4 (High),2.50269892
Boston,10,10:00,Q4,Q4 (High),3.751947044
Boston,11,11:00,Q4,Q4 (High),4.028318212
Boston,12,12:00,Q4,Q4 (High),4.432681128
Boston,13,13:00,Q4,Q4 (High),2.549691254
Boston,14,14:00,Q4,Q4 (High),1.93803188
Boston,15,15:00,Q4,Q4 (High),2.708832945
Boston,16,16:00,Q4,Q4 (High),2.686076696
Boston,17,17:00,Q4,Q4 (High),1.786512203
Boston,18,18:00,Q4,Q4 (High),1.962102706
Boston,19,19:00,Q4,Q4 (High),0.67619948
Boston,20,20:00,Q4,Q4 (High),0.458609745
Boston,21,21:00,Q4,Q4 (High),0.359335974
Boston,22,22:00,Q4,Q4 (High),0
