poi_type,city,term,estimate,std.error,std.error.x2,p.value,sig_levels,significance
Food & Coffee,Seattle,Fraction of Q1 visitors,-0.363357475,0.036862566,0.073725132,7.81208048393231e-22,***,Significant
Food & Coffee,Seattle,Fraction of Q4 visitors,0.258695724,0.036017504,0.072035008,1.43662631246853e-12,***,Significant
Food & Coffee,Washington,Segregation,-0.198644649,0.01812596,0.03625192,2.97119396233455e-27,***,Significant
Food & Coffee,Washington,# POIs per CBG,0.004281361,0.016790868,0.033581735,0.798761058,,Not Significant
Food & Coffee,Washington,# Unique visitors,-0.024400896,0.017387423,0.034774845,0.160648328,,Not Significant
Food & Coffee,Washington,Fraction of Q1 visitors,-0.370156643,0.021375121,0.042750243,4.15842197728095e-63,***,Significant
Food & Coffee,Washington,Fraction of Q4 visitors,0.255343787,0.020810967,0.041621934,1.57605786124549e-33,***,Significant
Grocery,Boston,Segregation,-0.237153124,0.141844561,0.283689121,0.098174399,.,Not Significant
Grocery,Boston,# POIs per CBG,-0.007011556,0.11374881,0.22749762,0.950991996,,Not Significant
Grocery,Boston,# Unique visitors,-0.198902619,0.130014808,0.260029616,0.129725011,,Not Significant
Grocery,Boston,Fraction of Q1 visitors,0.029011704,0.173411012,0.346822024,0.867526584,,Not Significant
Grocery,Boston,Fraction of Q4 visitors,-0.02461027,0.146552686,0.293105372,0.867034362,,Not Significant
Grocery,Chicago,Segregation,-0.23505239,0.054795745,0.109591489,2.2359776221258e-05,***,Significant
Grocery,Chicago,# POIs per CBG,-0.037302805,0.048077783,0.096155566,0.438265615,,Not Significant
Grocery,Chicago,# Unique visitors,-0.047404373,0.048101719,0.096203437,0.324959835,,Not Significant
Grocery,Chicago,Fraction of Q1 visitors,-0.174292571,0.066070907,0.132141814,0.008658765,**,Significant
Grocery,Chicago,Fraction of Q4 visitors,0.076894452,0.061011433,0.122022866,0.208269433,,Not Significant
Grocery,Dallas,Segregation,-0.132513965,0.055551408,0.111102817,0.017575794,*,Significant
Grocery,Dallas,# POIs per CBG,-0.060941616,0.045244438,0.090488876,0.178846307,,Not Significant
Grocery,Dallas,# Unique visitors,-0.084727706,0.047476437,0.094952874,0.075163905,.,Not Significant
Grocery,Dallas,Fraction of Q1 visitors,-0.220639591,0.060925813,0.121851626,0.000334998,***,Significant
Grocery,Dallas,Fraction of Q4 visitors,0.347811394,0.056167192,0.112334384,1.61685599066328e-09,***,Significant
Grocery,Detroit,Segregation,-0.140222772,0.109772354,0.219544708,0.203591944,,Not Significant
Grocery,Detroit,# POIs per CBG,0.069724146,0.096739289,0.193478577,0.472278169,,Not Significant
Grocery,Detroit,# Unique visitors,-0.002604247,0.094836512,0.189673024,0.978131926,,Not Significant
Grocery,Detroit,Fraction of Q1 visitors,-0.012931419,0.118497813,0.236995625,0.913258418,,Not Significant
Grocery,Detroit,Fraction of Q4 visitors,-0.092924319,0.106425702,0.212851403,0.384093776,,Not Significant
Grocery,Los Angeles,Segregation,-0.235816965,0.041088608,0.082177216,1.39858976116354e-08,***,Significant
Grocery,Los Angeles,# POIs per CBG,0.019265611,0.035042516,0.070085031,0.582641067,,Not Significant
Grocery,Los Angeles,# Unique visitors,-0.080624133,0.036394939,0.072789878,0.02705291,*,Significant
Grocery,Los Angeles,Fraction of Q1 visitors,-0.224969854,0.05189944,0.10379888,1.66604291828529e-05,***,Significant
Grocery,Los Angeles,Fraction of Q4 visitors,-0.001159471,0.048153581,0.096307163,0.980796538,,Not Significant
Grocery,Miami,Segregation,-0.276306198,0.050131021,0.100262042,5.92470141108403e-08,***,Significant
Grocery,Miami,# POIs per CBG,0.020007755,0.043683928,0.087367857,0.647159759,,Not Significant
Grocery,Miami,# Unique visitors,-0.063665043,0.044840956,0.089681912,0.156342733,,Not Significant
Grocery,Miami,Fraction of Q1 visitors,-0.116533732,0.062406837,0.124813673,0.06249087,.,Not Significant
Grocery,Miami,Fraction of Q4 visitors,0.106922143,0.057087189,0.114174379,0.061706228,.,Not Significant
